sample	NRF	PBC1	PBC2	TSS_score	FRiP	Peak_count	Alignment_rate	to_keep	study	cell_type	paired_end	stimulated	groups	file
SRR7650755	0.05	0.23	1.18	18.9	0.09	279932	75.79	TRUE	Calderon	Regulatory_T	PAIRED	none	Tregs	SRA
SRR15054859	0.01	0.13	2.34	16.2	0.03	492423	69.65	TRUE	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650819	0.77	0.88	8.24	19.4	0.39	262466	50.02	TRUE	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR15054943	0.24	0.46	1.59	13.5	0.14	357631	82.65	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5831519	0.63	0.8	5.13	11	0.3	460485	28.04	TRUE	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054792	0.48	0.68	2.97	22.8	0.26	207252	87.38	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650832	0.68	0.82	5.67	21.2	0.38	205299	49.03	TRUE	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149183	0.86	0.93	14.15	7.2	0.29	484569	66.88	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15055233	0.89	0.94	17.61	19.9	0.26	239084	45.25	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR5831532	0.82	0.9	10.07	16.5	0.29	352326	32.47	TRUE	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650738	0.34	0.58	2.24	19.2	0.28	254554	81.24	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054895	0.45	0.66	2.74	14.1	0.18	300121	78.73	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR14240834	0.53	0.73	3.76	19.1	0.28	187035	71.75	TRUE	Zhang	CD19_B_cells	PAIRED	none	Bcells	SRA
SRR7650751	0.06	0.24	1.6	21.4	0.11	237655	79.66	TRUE	Calderon	Memory_Tregs	PAIRED	none	Tregs	SRA
SRR7650815	0.68	0.83	5.54	11.8	0.32	569094	52.67	TRUE	Calderon	Mem_B	PAIRED	stimulated	Bcells	SRA
SRR11297448	0.92	0.96	24.51	18.4	0.62	240162	62.84	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR15054849	0.68	0.82	5.32	10	0.15	193759	82.05	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5831515	0.66	0.82	5.69	8.9	0.22	371268	38.19	TRUE	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR2920488	0.28	0.51	1.74	13.4	0.24	454975	56.04	TRUE	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR15054782	0.21	0.46	1.89	23.1	0.15	206972	85.67	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149173	0.76	0.87	7.77	6.4	0.24	504376	76.35	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15055223	0.82	0.9	10.37	15.7	0.26	280607	38.81	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR7650734	0.38	0.6	2.39	19.8	0.27	365694	81.76	TRUE	Calderon	Naive_B	PAIRED	stimulated	Bcells	SRA
SRR15054885	0.47	0.68	2.88	20.2	0.26	205344	83.85	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR13276229	0.02	0.13	1.76	5.4	0.03	232039	58.46	TRUE	Ge	Fibroblasts	PAIRED	none	Fibroblasts	SRA
SRR7650811	0.23	0.46	1.66	12.2	0.24	370282	84.97	TRUE	Calderon	pDCs	PAIRED	none	DCs	SRA
SRR14240824	0.92	0.96	26.05	14.2	0.44	361329	83.55	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR15054820	0.54	0.73	3.45	11.7	0.15	278134	76.87	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11297438	0.91	0.95	20.49	8.9	0.18	180080	74.07	TRUE	Leylek	cDC1	PAIRED	none	DCs	SRA
SRR15054839	0.2	0.42	1.5	15.9	0.12	164165	83.27	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650730	0.54	0.73	3.56	18.6	0.28	342235	80.78	TRUE	Calderon	Bulk_B	PAIRED	stimulated	Bcells	SRA
SRR15054772	0.56	0.74	3.67	15.9	0.21	290993	83.86	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149163	0.82	0.9	10.46	7.6	0.29	623226	74.63	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR7650884	0.7	0.84	5.96	8.2	0.23	633042	81.14	TRUE	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR15054875	0.35	0.58	2.37	23.5	0.21	165018	85.23	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR14240814	0.72	0.85	6.67	17.1	0.49	271192	83.47	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR15054810	0.54	0.72	3.42	11.3	0.16	265728	80.22	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR2920544	0.58	0.75	3.94	21.8	0.43	168801	32.1	TRUE	Corces	Bcell	PAIRED	none	Bcells	SRA
SRR15054978	0.25	0.48	1.65	16	0.17	350480	84.01	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054829	0.03	0.17	1.68	16.5	0.08	509716	81.97	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650867	0.59	0.76	4.07	11.9	0.23	353107	78.79	TRUE	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR5646922	0.65	0.8	4.75	8	0.2	312630	53.6	TRUE	Liu	human_fibroblast_cell	PAIRED	none	Fibroblasts	SRA
SRR11149153	0.83	0.91	11.08	8	0.26	421050	70.99	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR2920527	0.04	0.19	1.45	27.3	0.11	150789	48.28	TRUE	Corces	NKcell	PAIRED	none	NK	SRA
SRR7650880	0.49	0.69	3.11	13.3	0.24	462597	78.05	TRUE	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11297464	0.91	0.96	22.86	25.4	0.53	195384	44.68	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR15054865	0.53	0.72	3.32	18.7	0.21	207360	84.93	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR14240804	0.74	0.86	7.16	13.5	0.34	241617	80.45	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR15054800	0.04	0.16	1.09	14.8	0.09	485232	82.36	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11909942	0.89	0.94	18.02	5.9	0.26	537970	80.71	TRUE	Ram-Mohan	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR15054968	0.37	0.59	2.19	19.8	0.21	221476	82.45	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR15054819	0.25	0.48	1.67	12.3	0.13	277084	65.23	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650863	0.69	0.83	5.78	12.7	0.26	429469	77.27	TRUE	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650769	0.51	0.71	3.37	17.8	0.48	337157	88.57	TRUE	Calderon	Myeloid_DCs	PAIRED	none	DCs	SRA
SRR11149143	0.77	0.88	8.32	7.9	0.31	544322	71.89	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR14240840	0.79	0.89	9.73	25.4	0.63	197200	52.53	TRUE	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
SRR11297454	0.93	0.97	29.77	18.8	0.47	268586	37.65	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR7650782	0.49	0.69	3.11	20.6	0.33	237371	80.31	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054855	0.27	0.5	1.83	15.2	0.18	335504	79.99	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650846	0.71	0.84	6.3	17.2	0.29	337846	38.82	TRUE	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR7650923	0.81	0.9	9.95	7.6	0.2	463709	83.03	TRUE	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR15054809	0.4	0.62	2.37	11.1	0.16	299957	79.36	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR11297490	0.89	0.94	17.14	15.6	0.5	241542	58.61	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR7650765	0.38	0.6	2.38	21.2	0.25	318844	82.89	TRUE	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR15055248	0.94	0.97	33.76	14.9	0.22	179613	75.81	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054891	0.2	0.42	1.49	20.2	0.16	165612	81.46	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650829	0.49	0.69	3.03	11.3	0.26	309593	42.87	TRUE	Calderon	Effector_CD4pos_T	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR14240830	0.95	0.97	37.58	13.7	0.4	315579	79.54	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR5831529	0.64	0.8	5.26	10.6	0.22	418861	48.01	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR7650842	0.28	0.51	1.83	15.7	0.29	249401	42.6	TRUE	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR11297444	0.88	0.94	16	15.6	0.44	197730	54.6	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR15054845	0.01	0.11	2.77	19.5	0.03	383862	77.47	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650748	0.6	0.77	4.31	15.8	0.36	604379	76.13	TRUE	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR11727638	0.92	0.96	23.22	9.1	0.12	133682	82	TRUE	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR15054948	0.39	0.61	2.3	16.5	0.2	262844	82.18	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650761	0.62	0.79	4.69	20.1	0.38	263137	80.19	TRUE	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054797	0.51	0.71	3.26	11	0.19	336743	82.74	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650825	0.82	0.91	10.8	19.2	0.34	313308	53.13	TRUE	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR11149188	0.74	0.86	7.18	8.6	0.29	506009	67.74	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR5831525	0.73	0.86	7.22	12.8	0.23	183485	33.96	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR15054881	0.25	0.51	2.29	16.1	0.12	172156	82.59	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR5646957	0.02	0.11	1.11	5.5	0.03	208463	51.34	TRUE	Liu	human_denditic_cell	PAIRED	sclerosis_patient	DCs	SRA
SRR14240820	0.74	0.86	7.03	14	0.31	256912	82.94	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR11297434	0.62	0.78	4.39	13.7	0.29	305413	44	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR14240839	0.83	0.92	12.71	25.8	0.57	201927	57.94	TRUE	Zhang	CD4_T_cells	PAIRED	none	CD4_Tcells	SRA
SRR15054835	0.18	0.4	1.46	24.7	0.16	149467	86.85	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650808	0.76	0.87	7.78	5.1	0.15	368428	81.54	TRUE	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR7650821	0.46	0.67	2.85	16.3	0.31	289368	42.62	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR15054938	0.66	0.81	5.07	17.2	0.22	212373	81.81	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5831521	0.65	0.81	5.24	10.3	0.19	277501	34.18	TRUE	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054787	0.01	0.09	1.71	13.3	0.04	355006	78.84	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR2920494	0.63	0.79	4.56	18.4	0.42	410210	45.89	TRUE	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR11149178	0.76	0.87	7.86	8.7	0.3	467090	65.63	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15054871	0.01	0.12	2.56	25.3	0.04	148540	88.09	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11297489	0.86	0.93	13.52	14.5	0.39	232971	64.1	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR14240810	0.7	0.84	6.12	13.5	0.34	273729	81.45	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
